原页码,菌株名称,DSM编号,提取的编号,WGS_ID,WGS_状态,WGS_文件,16S_ID,16S_状态,16S_文件
2158,Macrococcus capreoli DSM 113939,DSM 113939,LMG 32618;DSM 113939,GCF_053545215.1,成功,LMG_Macrococcus capreoli DSM 113939_WGS_GCF_053545215.1.fasta,OR600235,成功,LMG_Macrococcus capreoli DSM 113939_16S_OR600235.fasta
2158,Staphylococcus aureus DSM 113940,DSM 113940,DSM 113940,GCA_033559015.1,成功,DSM_Staphylococcus aureus DSM 113940_WGS_GCA_033559015.1.fasta,,,
2158,Okibacterium fritillariae DSM 113941,DSM 113941,DSM 113941,,,,,,
2158,Bacillus sp. DSM 113942,DSM 113942,DSM 113942,,,,,,
2158,Paenibacillus lautus DSM 113943,DSM 113943,DSM 113943,,,,,,
2158,Phage (phagum) DSM 113975,DSM 113975,DSM 113975,,,,,,
2158,Phage (phagum) DSM 113976,DSM 113976,DSM 113976,,,,,,
2158,Phage (phagum) DSM 113977,DSM 113977,DSM 113977,,,,,,
2158,Phage (phagum) DSM 113978,DSM 113978,DSM 113978,,,,,,
2158,Phage (phagum) DSM 113979,DSM 113979,DSM 113979,,,,,,
2158,Phage (phagum) DSM 113980,DSM 113980,DSM 113980,,,,,,
2158,Phage (phagum) DSM 113981,DSM 113981,DSM 113981,,,,,,
2158,Phage (phagum) DSM 113982,DSM 113982,DSM 113982,,,,,,
2158,Phage (phagum) DSM 113983,DSM 113983,DSM 113983,,,,,,
2158,Phage (phagum) DSM 113984,DSM 113984,DSM 113984,,,,,,
2158,Phage (phagum) DSM 113985,DSM 113985,DSM 113985,,,,,,
2158,Phage (phagum) DSM 113986,DSM 113986,DSM 113986,,,,,,
2158,Phage (phagum) DSM 113987,DSM 113987,DSM 113987,,,,,,
2158,Gordonia pseudamarae DSM 113993,DSM 113993,DSM 113993,,,,,,
