原页码,菌株名称,JCM编号,BacDive链接,WGS_ID,WGS_状态,WGS_文件,16S_ID,16S_状态,16S_文件
1462,Leuconostoc lactis JCM 1142,1142,https://bacdive.dsmz.de/strain/161159,N/A,N/A,,LC311733,成功,Leuconostoc lactis JCM 1142_16S_LC311733.fasta
1462,Weissella viridescens JCM 1160,1160,https://bacdive.dsmz.de/strain/161174,N/A,N/A,,LC260018,成功,Weissella viridescens JCM 1160_16S_LC260018.fasta
1462,Secundilactobacillus malefermentans JCM 1167,1167,https://bacdive.dsmz.de/strain/135189,N/A,N/A,,AB289192,成功,Secundilactobacillus malefermentans JCM 1167_16S_AB289192.fasta
1462,Levilactobacillus brevis JCM 1170,1170,https://bacdive.dsmz.de/strain/137682,GCA_000014465,成功,Levilactobacillus brevis JCM 1170_WGS_GCA_000014465.fasta,AB289049,成功,Levilactobacillus brevis JCM 1170_16S_AB289049.fasta
1462,Lactobacillus JCM 1179,1179,https://bacdive.dsmz.de/strain/161188,N/A,N/A,,LC723856,成功,Lactobacillus JCM 1179_16S_LC723856.fasta
1462,Lentilactobacillus JCM 1183,1183,https://bacdive.dsmz.de/strain/138176,N/A,N/A,,KF910113,成功,Lentilactobacillus JCM 1183_16S_KF910113.fasta
1462,Lactobacillus acidophilus JCM 1229,1229,https://bacdive.dsmz.de/strain/161209,N/A,N/A,,AB289018,成功,Lactobacillus acidophilus JCM 1229_16S_AB289018.fasta
1462,Ligilactobacillus salivarius JCM 1230,1230,https://bacdive.dsmz.de/strain/161212,GCA_002079405,成功,Ligilactobacillus salivarius JCM 1230_WGS_GCA_002079405.fasta,AY137589,成功,Ligilactobacillus salivarius JCM 1230_16S_AY137589.fasta
1462,Escherichia coli JCM 1246,1246,https://bacdive.dsmz.de/strain/161246,N/A,N/A,,LC050175,成功,Escherichia coli JCM 1246_16S_LC050175.fasta
1462,Empedobacter brevis JCM 1276,1276,https://bacdive.dsmz.de/strain/138772,GCA_000382425,成功,Empedobacter brevis JCM 1276_WGS_GCA_000382425.fasta,AM177497,成功,Empedobacter brevis JCM 1276_16S_AM177497.fasta
1462,Vibrio furnissii JCM 1282,1282,https://bacdive.dsmz.de/strain/143571,N/A,N/A,,LC050179,成功,Vibrio furnissii JCM 1282_16S_LC050179.fasta
